BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;8;0.15;453;18;1;560;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;16;0.15;453;18;1;2436;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;32;0.15;453;18;6;10256;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;64;0.15;453;18;44;42476;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;128;0.15;453;18;346;172408;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;256;0.15;453;18;2722;694612;
OpenMP Loop;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;512;0.15;453;18;21690;2790432;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;8;0.15;453;18;1;560;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;16;0.15;453;18;1;2436;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;32;0.15;453;18;5;10256;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;64;0.15;453;18;25;42476;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;128;0.15;453;18;141;172408;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;256;0.15;453;18;914;694612;
Octree;/home/xbartu11/projects/AVS-project2/scripts/../data/bun_zipper_res4.pts;;512;0.15;453;18;6499;2790432;
